month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1919-11-01,23,8,11,1.375,66.15806331715422
1919-12-01,53,15,33,2.2,152.45118938300755
1920-01-01,72,13,27,2.076923076923077,207.10350255804798
1920-02-01,83,12,15,1.25,238.74431544886087
1920-03-01,87,14,22,1.5714285714285714,250.25006559097466
1920-04-01,88,15,33,2.2,253.1265031265031
1920-05-01,93,19,24,1.263157894736842,267.5086908041453
1920-06-01,96,17,21,1.2352941176470589,276.1380034107307
1920-07-01,97,18,25,1.3888888888888888,279.01444094625907
1920-08-01,67,12,0,0.0,192.72131488040574
1920-09-01,58,12,9,0.75,166.83337706064975
1920-10-01,77,16,25,1.5625,221.4856902356902
1920-11-01,100,20,55,2.75,287.64375355284443
1920-12-01,119,21,41,1.9523809523809523,342.29606672788486
1921-01-01,116,18,31,1.7222222222222223,333.6667541212995
1921-02-01,119,21,35,1.6666666666666667,342.29606672788486
1921-03-01,135,22,29,1.3181818181818181,388.31906729634
1921-04-01,141,19,34,1.7894736842105263,405.57769250951065
1921-05-01,138,20,30,1.5,396.9483799029253
1921-06-01,136,21,36,1.7142857142857142,391.19550483186845
1921-07-01,126,23,25,1.0869565217391304,362.431129476584
1921-08-01,114,18,31,1.7222222222222223,327.91387905024266
1921-09-01,123,17,24,1.411764705882353,353.8018168699986
1921-10-01,148,19,26,1.368421052631579,425.71275525820977
1921-11-01,156,20,32,1.6,448.7242555424373
1921-12-01,174,24,53,2.2083333333333335,500.5001311819493
1922-01-01,186,27,68,2.5185185185185186,535.0173816082906
1922-02-01,190,30,47,1.5666666666666667,546.5231317504044
1922-03-01,176,29,22,0.7586206896551724,506.2530062530062
1922-04-01,173,22,28,1.2727272727272727,497.62369364642086
1922-05-01,162,19,31,1.631578947368421,465.982880755608
1922-06-01,151,18,33,1.8333333333333333,434.34206786479507
1922-07-01,160,17,20,1.1764705882352942,460.23000568455103
1922-08-01,135,16,18,1.125,388.31906729634
1922-09-01,135,12,23,1.9166666666666667,388.31906729634
1922-10-01,173,15,38,2.533333333333333,497.62369364642086
1922-11-01,174,21,51,2.4285714285714284,500.5001311819493
1922-12-01,197,23,73,3.1739130434782608,566.6581944991035
1923-01-01,200,25,55,2.2,575.2875071056889
1923-02-01,181,24,64,2.6666666666666665,520.6351939306485
1923-03-01,185,25,62,2.48,532.1409440727622
1923-04-01,171,21,35,1.6666666666666667,491.87081857536396
1923-05-01,169,17,43,2.5294117647058822,486.1179435043071
1923-06-01,166,20,25,1.25,477.48863089772175
1923-07-01,138,20,36,1.8,396.9483799029253
1923-08-01,118,18,31,1.7222222222222223,339.4196291923564
1923-09-01,136,19,89,4.684210526315789,391.19550483186845
1923-10-01,170,26,70,2.6923076923076925,488.9943810398355
1923-11-01,194,24,53,2.2083333333333335,558.0288818925181
1923-12-01,203,26,43,1.6538461538461537,583.9168197122742
1924-01-01,210,23,56,2.4347826086956523,604.0518824609734
1924-02-01,207,23,45,1.9565217391304348,595.4225698543879
1924-03-01,204,25,56,2.24,586.7932572478027
1924-04-01,210,25,62,2.48,604.0518824609734
1924-05-01,186,22,41,1.8636363636363635,535.0173816082906
1924-06-01,173,19,45,2.3684210526315788,497.62369364642086
1924-07-01,167,21,55,2.619047619047619,480.3650684332502
1924-08-01,160,22,39,1.7727272727272727,460.23000568455103
1924-09-01,161,23,50,2.1739130434782608,463.10644322007954
1924-10-01,174,22,51,2.3181818181818183,500.5001311819493
1924-11-01,176,24,52,2.1666666666666665,506.2530062530062
1924-12-01,179,25,62,2.48,514.8823188595915
1925-01-01,180,27,51,1.8888888888888888,517.7587563951199
1925-02-01,184,30,42,1.4,529.2645065372337
1925-03-01,187,30,64,2.1333333333333333,537.8938191438191
1925-04-01,199,32,45,1.40625,572.4110695701604
1925-05-01,190,32,48,1.5,546.5231317504044
1925-06-01,170,31,53,1.7096774193548387,488.9943810398355
1925-07-01,167,34,37,1.088235294117647,480.3650684332502
1925-08-01,148,30,25,0.8333333333333334,425.71275525820977
1925-09-01,159,30,32,1.0666666666666667,457.35356814902264
1925-10-01,194,29,52,1.793103448275862,558.0288818925181
1925-11-01,219,31,63,2.032258064516129,629.9398202807294
1925-12-01,228,36,88,2.4444444444444446,655.8277581004853
1926-01-01,231,36,71,1.9722222222222223,664.4570707070706
1926-02-01,214,30,70,2.3333333333333335,615.5576326030871
1926-03-01,200,32,118,3.6875,575.2875071056889
1926-04-01,204,36,142,3.9444444444444446,586.7932572478027
1926-05-01,199,36,62,1.7222222222222223,572.4110695701604
1926-06-01,191,33,37,1.121212121212121,549.3995692859329
1926-07-01,185,32,52,1.625,532.1409440727622
1926-08-01,161,25,54,2.16,463.10644322007954
1926-09-01,175,25,53,2.12,503.3765687174777
1926-10-01,183,26,78,3.0,526.3880690017053
1926-11-01,176,25,108,4.32,506.2530062530062
1926-12-01,173,26,76,2.923076923076923,497.62369364642086
1927-01-01,168,28,54,1.9285714285714286,483.24150596877865
1927-02-01,159,27,49,1.8148148148148149,457.35356814902264
1927-03-01,166,28,51,1.8214285714285714,477.48863089772175
1927-04-01,170,25,61,2.44,488.9943810398355
1927-05-01,163,27,62,2.2962962962962963,468.8593182911364
1927-06-01,150,29,52,1.793103448275862,431.4656303292667
1927-07-01,140,24,34,1.4166666666666667,402.7012549739822
1927-08-01,136,22,47,2.1363636363636362,391.19550483186845
1927-09-01,139,25,52,2.08,399.82481743845375
1927-10-01,139,22,53,2.409090909090909,399.82481743845375
1927-11-01,144,28,70,2.5,414.20700511609596
1927-12-01,144,27,77,2.8518518518518516,414.20700511609596
1928-01-01,121,27,61,2.259259259259259,348.04894179894177
1928-02-01,85,24,82,3.4166666666666665,244.49719051991775
1928-03-01,106,22,38,1.7272727272727273,304.9023787660151
1928-04-01,134,26,46,1.7692307692307692,385.4426297608115
1928-05-01,152,27,35,1.2962962962962963,437.2185054003235
1928-06-01,141,27,72,2.6666666666666665,405.57769250951065
1928-07-01,125,23,39,1.6956521739130435,359.5546919410555
1928-08-01,111,17,34,2.0,319.2845664436573
1928-09-01,119,19,36,1.894736842105263,342.29606672788486
1928-10-01,154,22,58,2.6363636363636362,442.9713804713804
1928-11-01,164,22,75,3.409090909090909,471.7357558266649
1928-12-01,154,19,79,4.157894736842105,442.9713804713804
1929-01-01,155,17,84,4.9411764705882355,445.8478180069089
1929-02-01,159,22,80,3.6363636363636362,457.35356814902264
1929-03-01,170,23,87,3.782608695652174,488.9943810398355
1929-04-01,187,27,90,3.3333333333333335,537.8938191438191
1929-05-01,171,27,81,3.0,491.87081857536396
1929-06-01,149,24,63,2.625,428.58919279373816
1929-07-01,132,25,59,2.36,379.68975468975464
1929-08-01,122,20,46,2.3,350.9253793344702
1929-09-01,122,18,43,2.388888888888889,350.9253793344702
1929-10-01,133,19,65,3.4210526315789473,382.5661922252831
1929-11-01,134,21,66,3.142857142857143,385.4426297608115
1929-12-01,146,24,57,2.375,419.95988018715286
1930-01-01,120,23,59,2.5652173913043477,345.1725042634133
1930-02-01,79,19,47,2.473684210526316,227.2385653067471
1930-03-01,68,21,69,3.2857142857142856,195.59775241593422
1930-04-01,55,22,52,2.3636363636363638,158.20406445406445
